Id,Year,State,Countym,Industry,Suspicious Activity,Count,Lat,Long
1028,2017,California,Colusa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,1,39.177739,-122.237563
1029,2018,California,Colusa County, Tribal Authorized Casino,Check,3,39.177739,-122.237563
1030,2018,California,Colusa County, Tribal Authorized Casino,Counterfeit Instrument,1,39.177739,-122.237563
1031,2018,California,Colusa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,1,39.177739,-122.237563
1032,2018,California,Colusa County, Tribal Authorized Casino,Other Identification Documentation,1,39.177739,-122.237563
1033,2018,California,Colusa County, Tribal Authorized Casino,Provided Questionable or False Documentation,1,39.177739,-122.237563
1034,2018,California,Colusa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,2,39.177739,-122.237563
1035,2018,California,Colusa County, Tribal Authorized Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",1,39.177739,-122.237563
1036,2018,California,Colusa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,1,39.177739,-122.237563
1037,2019,California,Colusa County, Tribal Authorized Casino,Check,3,39.177739,-122.237563
1038,2019,California,Colusa County, Tribal Authorized Casino,Counterfeit Instrument,3,39.177739,-122.237563
1039,2019,California,Colusa County, Tribal Authorized Casino,Credit/Debit Card,1,39.177739,-122.237563
1040,2019,California,Colusa County, Tribal Authorized Casino,Other Gaming Activites,2,39.177739,-122.237563
1041,2019,California,Colusa County, Tribal Authorized Casino,Other Identification Documentation,1,39.177739,-122.237563
1042,2019,California,Colusa County, Tribal Authorized Casino,Other Structuring,1,39.177739,-122.237563
1043,2019,California,Colusa County, Tribal Authorized Casino,Provided Questionable or False Documentation,1,39.177739,-122.237563
1044,2019,California,Colusa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,1,39.177739,-122.237563
1045,2014,California,Contra Costa County, Card Club,Account Takeover,1,37.919478999999995,-121.95154299999999
1046,2014,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,8,37.919478999999995,-121.95154299999999
1047,2014,California,Contra Costa County, Card Club,Counterfeit Instrument,1,37.919478999999995,-121.95154299999999
1048,2014,California,Contra Costa County, Card Club,Credit/Debit Card,2,37.919478999999995,-121.95154299999999
1049,2014,California,Contra Costa County, Card Club,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,7,37.919478999999995,-121.95154299999999
1050,2014,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,1,37.919478999999995,-121.95154299999999
1051,2014,California,Contra Costa County, Card Club,Forgeries,1,37.919478999999995,-121.95154299999999
1052,2014,California,Contra Costa County, Card Club,Identity Theft,2,37.919478999999995,-121.95154299999999
1053,2014,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,1,37.919478999999995,-121.95154299999999
1054,2014,California,Contra Costa County, Card Club,Other Casinos,15,37.919478999999995,-121.95154299999999
1055,2014,California,Contra Costa County, Card Club,Other Fraud (Type),1,37.919478999999995,-121.95154299999999
1056,2014,California,Contra Costa County, Card Club,Other Identification Documentation,6,37.919478999999995,-121.95154299999999
1057,2014,California,Contra Costa County, Card Club,Other Other Suspicious Activities,1,37.919478999999995,-121.95154299999999
1058,2014,California,Contra Costa County, Card Club,Other Structuring,8,37.919478999999995,-121.95154299999999
1059,2014,California,Contra Costa County, Card Club,Provided Questionable or False Documentation,4,37.919478999999995,-121.95154299999999
1060,2014,California,Contra Costa County, Card Club,Refused or Avoided Request for Documentation,10,37.919478999999995,-121.95154299999999
1061,2014,California,Contra Costa County, Card Club,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1,37.919478999999995,-121.95154299999999
1062,2014,California,Contra Costa County, Card Club,Transaction(s) Below BSA Recordkeeping Threshold,1,37.919478999999995,-121.95154299999999
1063,2014,California,Contra Costa County, Card Club,Transaction(s) Below CTR Threshold,2,37.919478999999995,-121.95154299999999
1064,2014,California,Contra Costa County, Tribal Authorized Casino,Credit/Debit Card,4,37.919478999999995,-121.95154299999999
1065,2014,California,Contra Costa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1,37.919478999999995,-121.95154299999999
1066,2014,California,Contra Costa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,3,37.919478999999995,-121.95154299999999
1067,2014,California,Contra Costa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,5,37.919478999999995,-121.95154299999999
1068,2014,California,Contra Costa County, Tribal Authorized Casino,Other Casinos,23,37.919478999999995,-121.95154299999999
1069,2014,California,Contra Costa County, Tribal Authorized Casino,Other Fraud (Type),3,37.919478999999995,-121.95154299999999
1070,2014,California,Contra Costa County, Tribal Authorized Casino,Other Identification Documentation,4,37.919478999999995,-121.95154299999999
1071,2014,California,Contra Costa County, Tribal Authorized Casino,Other Money Laundering,2,37.919478999999995,-121.95154299999999
1072,2014,California,Contra Costa County, Tribal Authorized Casino,Other Other Suspicious Activities,4,37.919478999999995,-121.95154299999999
1073,2014,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Documentation,2,37.919478999999995,-121.95154299999999
1074,2014,California,Contra Costa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,9,37.919478999999995,-121.95154299999999
1075,2014,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,15,37.919478999999995,-121.95154299999999
1076,2014,California,Contra Costa County, Tribal Authorized Casino,Two or More Individuals Working Together,26,37.919478999999995,-121.95154299999999
1077,2015,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1,37.919478999999995,-121.95154299999999
1078,2015,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,6,37.919478999999995,-121.95154299999999
1079,2015,California,Contra Costa County, Card Club,Counterfeit Instrument,1,37.919478999999995,-121.95154299999999
1080,2015,California,Contra Costa County, Card Club,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,22,37.919478999999995,-121.95154299999999
1081,2015,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,1,37.919478999999995,-121.95154299999999
1082,2015,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,1,37.919478999999995,-121.95154299999999
1083,2015,California,Contra Costa County, Card Club,Other Casinos,22,37.919478999999995,-121.95154299999999
1084,2015,California,Contra Costa County, Card Club,Other Identification Documentation,9,37.919478999999995,-121.95154299999999
1085,2015,California,Contra Costa County, Card Club,Other Structuring,22,37.919478999999995,-121.95154299999999
1086,2015,California,Contra Costa County, Card Club,Refused or Avoided Request for Documentation,23,37.919478999999995,-121.95154299999999
1087,2015,California,Contra Costa County, Card Club,Single Individual with Multiple Identities,1,37.919478999999995,-121.95154299999999
1088,2015,California,Contra Costa County, Card Club,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,2,37.919478999999995,-121.95154299999999
1089,2015,California,Contra Costa County, Card Club,Suspicious Use of Noncash Monetary Instruments,1,37.919478999999995,-121.95154299999999
1090,2015,California,Contra Costa County, Card Club,Transaction(s) Below BSA Recordkeeping Threshold,1,37.919478999999995,-121.95154299999999
1091,2015,California,Contra Costa County, Card Club,Transaction(s) Below CTR Threshold,8,37.919478999999995,-121.95154299999999
1092,2015,California,Contra Costa County, Card Club,Two or More Individuals Working Together,2,37.919478999999995,-121.95154299999999
1093,2015,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1,37.919478999999995,-121.95154299999999
1094,2015,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1,37.919478999999995,-121.95154299999999
1095,2015,California,Contra Costa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,1,37.919478999999995,-121.95154299999999
1096,2015,California,Contra Costa County, Tribal Authorized Casino,Check,1,37.919478999999995,-121.95154299999999
1097,2015,California,Contra Costa County, Tribal Authorized Casino,Counterfeit Instrument,4,37.919478999999995,-121.95154299999999
1098,2015,California,Contra Costa County, Tribal Authorized Casino,Credit/Debit Card,7,37.919478999999995,-121.95154299999999
1099,2015,California,Contra Costa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,6,37.919478999999995,-121.95154299999999
1100,2015,California,Contra Costa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,6,37.919478999999995,-121.95154299999999
1101,2015,California,Contra Costa County, Tribal Authorized Casino,Forgeries,6,37.919478999999995,-121.95154299999999
1102,2015,California,Contra Costa County, Tribal Authorized Casino,Identity Theft,10,37.919478999999995,-121.95154299999999
1103,2015,California,Contra Costa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,8,37.919478999999995,-121.95154299999999
1104,2015,California,Contra Costa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,1,37.919478999999995,-121.95154299999999
1105,2015,California,Contra Costa County, Tribal Authorized Casino,Other Casinos,128,37.919478999999995,-121.95154299999999
1106,2015,California,Contra Costa County, Tribal Authorized Casino,Other Fraud (Type),5,37.919478999999995,-121.95154299999999
1107,2015,California,Contra Costa County, Tribal Authorized Casino,Other Identification Documentation,21,37.919478999999995,-121.95154299999999
1108,2015,California,Contra Costa County, Tribal Authorized Casino,Other Money Laundering,2,37.919478999999995,-121.95154299999999
1109,2015,California,Contra Costa County, Tribal Authorized Casino,Other Other Suspicious Activities,6,37.919478999999995,-121.95154299999999
1110,2015,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Documentation,43,37.919478999999995,-121.95154299999999
1111,2015,California,Contra Costa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,17,37.919478999999995,-121.95154299999999
1112,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,1,37.919478999999995,-121.95154299999999
1113,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,1,37.919478999999995,-121.95154299999999
1114,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1,37.919478999999995,-121.95154299999999
1115,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicious Use of Counter Checks or Markers,1,37.919478999999995,-121.95154299999999
1116,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicious Use of Noncash Monetary Instruments,1,37.919478999999995,-121.95154299999999
1117,2015,California,Contra Costa County, Tribal Authorized Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1,37.919478999999995,-121.95154299999999
1118,2015,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,1,37.919478999999995,-121.95154299999999
1119,2015,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,11,37.919478999999995,-121.95154299999999
1120,2015,California,Contra Costa County, Tribal Authorized Casino,Two or More Individuals Working Together,103,37.919478999999995,-121.95154299999999
1121,2016,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,7,37.919478999999995,-121.95154299999999
1122,2016,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,18,37.919478999999995,-121.95154299999999
1123,2016,California,Contra Costa County, Card Club,Credit/Debit Card,2,37.919478999999995,-121.95154299999999
1124,2016,California,Contra Costa County, Card Club,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,47,37.919478999999995,-121.95154299999999
1125,2016,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,3,37.919478999999995,-121.95154299999999
1126,2016,California,Contra Costa County, Card Club,Inquiry about End of Business Day,1,37.919478999999995,-121.95154299999999
1127,2016,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,2,37.919478999999995,-121.95154299999999
1128,2016,California,Contra Costa County, Card Club,Other Casinos,18,37.919478999999995,-121.95154299999999
1129,2016,California,Contra Costa County, Card Club,Other Fraud (Type),1,37.919478999999995,-121.95154299999999
1130,2016,California,Contra Costa County, Card Club,Other Identification Documentation,5,37.919478999999995,-121.95154299999999
1131,2016,California,Contra Costa County, Card Club,Other Structuring,23,37.919478999999995,-121.95154299999999
1132,2016,California,Contra Costa County, Card Club,Provided Questionable or False Documentation,3,37.919478999999995,-121.95154299999999
1133,2016,California,Contra Costa County, Card Club,Refused or Avoided Request for Documentation,32,37.919478999999995,-121.95154299999999
1134,2016,California,Contra Costa County, Card Club,Suspicion Concerning the Physical Condition of Funds,2,37.919478999999995,-121.95154299999999
1135,2016,California,Contra Costa County, Card Club,Suspicious Exchange of Currencies,2,37.919478999999995,-121.95154299999999
1136,2016,California,Contra Costa County, Card Club,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,5,37.919478999999995,-121.95154299999999
1137,2016,California,Contra Costa County, Card Club,Suspicious Intra-Casino Funds Transfers,8,37.919478999999995,-121.95154299999999
1138,2016,California,Contra Costa County, Card Club,Suspicious Use of Third-Party Transactors (Straw-Man),1,37.919478999999995,-121.95154299999999
1139,2016,California,Contra Costa County, Card Club,Transaction(s) Below BSA Recordkeeping Threshold,1,37.919478999999995,-121.95154299999999
1140,2016,California,Contra Costa County, Card Club,Transaction(s) Below CTR Threshold,5,37.919478999999995,-121.95154299999999
1141,2016,California,Contra Costa County, Card Club,Two or More Individuals Working Together,5,37.919478999999995,-121.95154299999999
1142,2016,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1,37.919478999999995,-121.95154299999999
1143,2016,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1,37.919478999999995,-121.95154299999999
1144,2016,California,Contra Costa County, Tribal Authorized Casino,Check,5,37.919478999999995,-121.95154299999999
1145,2016,California,Contra Costa County, Tribal Authorized Casino,Credit/Debit Card,7,37.919478999999995,-121.95154299999999
1146,2016,California,Contra Costa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,4,37.919478999999995,-121.95154299999999
1147,2016,California,Contra Costa County, Tribal Authorized Casino,Identity Theft,1,37.919478999999995,-121.95154299999999
1148,2016,California,Contra Costa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,10,37.919478999999995,-121.95154299999999
1149,2016,California,Contra Costa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,3,37.919478999999995,-121.95154299999999
1150,2016,California,Contra Costa County, Tribal Authorized Casino,Other Casinos,243,37.919478999999995,-121.95154299999999
1151,2016,California,Contra Costa County, Tribal Authorized Casino,Other Fraud (Type),10,37.919478999999995,-121.95154299999999
1152,2016,California,Contra Costa County, Tribal Authorized Casino,Other Identification Documentation,23,37.919478999999995,-121.95154299999999
1153,2016,California,Contra Costa County, Tribal Authorized Casino,Other Other Suspicious Activities,2,37.919478999999995,-121.95154299999999
1154,2016,California,Contra Costa County, Tribal Authorized Casino,Other Structuring,1,37.919478999999995,-121.95154299999999
1155,2016,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Documentation,64,37.919478999999995,-121.95154299999999
1156,2016,California,Contra Costa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,3,37.919478999999995,-121.95154299999999
1157,2016,California,Contra Costa County, Tribal Authorized Casino,Single Individual with Multiple Identities,11,37.919478999999995,-121.95154299999999
1158,2016,California,Contra Costa County, Tribal Authorized Casino,Suspicious Intra-Casino Funds Transfers,1,37.919478999999995,-121.95154299999999
1159,2016,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,10,37.919478999999995,-121.95154299999999
1160,2016,California,Contra Costa County, Tribal Authorized Casino,Two or More Individuals Working Together,72,37.919478999999995,-121.95154299999999
1161,2017,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,21,37.919478999999995,-121.95154299999999
1162,2017,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,27,37.919478999999995,-121.95154299999999
1163,2017,California,Contra Costa County, Card Club,Credit/Debit Card,1,37.919478999999995,-121.95154299999999
1164,2017,California,Contra Costa County, Card Club,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,17,37.919478999999995,-121.95154299999999
1165,2017,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,1,37.919478999999995,-121.95154299999999
1166,2017,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,2,37.919478999999995,-121.95154299999999
1167,2017,California,Contra Costa County, Card Club,Other Casinos,23,37.919478999999995,-121.95154299999999
1168,2017,California,Contra Costa County, Card Club,Other Fraud (Type),1,37.919478999999995,-121.95154299999999
1169,2017,California,Contra Costa County, Card Club,Other Identification Documentation,6,37.919478999999995,-121.95154299999999
1170,2017,California,Contra Costa County, Card Club,Other Money Laundering,2,37.919478999999995,-121.95154299999999
1171,2017,California,Contra Costa County, Card Club,Other Structuring,19,37.919478999999995,-121.95154299999999
1172,2017,California,Contra Costa County, Card Club,Provided Questionable or False Documentation,1,37.919478999999995,-121.95154299999999
1173,2017,California,Contra Costa County, Card Club,Refused or Avoided Request for Documentation,45,37.919478999999995,-121.95154299999999
1174,2017,California,Contra Costa County, Card Club,Suspicious Intra-Casino Funds Transfers,1,37.919478999999995,-121.95154299999999
1175,2017,California,Contra Costa County, Card Club,Transaction(s) Below BSA Recordkeeping Threshold,6,37.919478999999995,-121.95154299999999
1176,2017,California,Contra Costa County, Card Club,Transaction(s) Below CTR Threshold,8,37.919478999999995,-121.95154299999999
1177,2017,California,Contra Costa County, Card Club,Two or More Individuals Working Together,7,37.919478999999995,-121.95154299999999
1178,2017,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,2,37.919478999999995,-121.95154299999999
1179,2017,California,Contra Costa County, Tribal Authorized Casino,Changes Spelling or Arrangement of Name,2,37.919478999999995,-121.95154299999999
1180,2017,California,Contra Costa County, Tribal Authorized Casino,Check,27,37.919478999999995,-121.95154299999999
1181,2017,California,Contra Costa County, Tribal Authorized Casino,Counterfeit Instrument,4,37.919478999999995,-121.95154299999999
1182,2017,California,Contra Costa County, Tribal Authorized Casino,Credit/Debit Card,11,37.919478999999995,-121.95154299999999
1183,2017,California,Contra Costa County, Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,1,37.919478999999995,-121.95154299999999
1184,2017,California,Contra Costa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,3,37.919478999999995,-121.95154299999999
1185,2017,California,Contra Costa County, Tribal Authorized Casino,Identity Theft,7,37.919478999999995,-121.95154299999999
1186,2017,California,Contra Costa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,2,37.919478999999995,-121.95154299999999
1187,2017,California,Contra Costa County, Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,1,37.919478999999995,-121.95154299999999
1188,2017,California,Contra Costa County, Tribal Authorized Casino,Other Casinos,253,37.919478999999995,-121.95154299999999
1189,2017,California,Contra Costa County, Tribal Authorized Casino,Other Fraud (Type),3,37.919478999999995,-121.95154299999999
1190,2017,California,Contra Costa County, Tribal Authorized Casino,Other Identification Documentation,23,37.919478999999995,-121.95154299999999
1191,2017,California,Contra Costa County, Tribal Authorized Casino,Other Money Laundering,2,37.919478999999995,-121.95154299999999
1192,2017,California,Contra Costa County, Tribal Authorized Casino,Other Other Suspicious Activities,3,37.919478999999995,-121.95154299999999
1193,2017,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Documentation,51,37.919478999999995,-121.95154299999999
1194,2017,California,Contra Costa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,4,37.919478999999995,-121.95154299999999
1195,2017,California,Contra Costa County, Tribal Authorized Casino,Single Individual with Multiple Identities,7,37.919478999999995,-121.95154299999999
1196,2017,California,Contra Costa County, Tribal Authorized Casino,Suspicion Concerning the Source of Funds,1,37.919478999999995,-121.95154299999999
1197,2017,California,Contra Costa County, Tribal Authorized Casino,"Suspicious Designation of Beneficiaries, Assignees or Joint Owners",1,37.919478999999995,-121.95154299999999
1198,2017,California,Contra Costa County, Tribal Authorized Casino,Suspicious Exchange of Currencies,2,37.919478999999995,-121.95154299999999
1199,2017,California,Contra Costa County, Tribal Authorized Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1,37.919478999999995,-121.95154299999999
1200,2017,California,Contra Costa County, Tribal Authorized Casino,Suspicious Intra-Casino Funds Transfers,2,37.919478999999995,-121.95154299999999
1201,2017,California,Contra Costa County, Tribal Authorized Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1,37.919478999999995,-121.95154299999999
1202,2017,California,Contra Costa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),1,37.919478999999995,-121.95154299999999
1203,2017,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,4,37.919478999999995,-121.95154299999999
1204,2017,California,Contra Costa County, Tribal Authorized Casino,Two or More Individuals Working Together,141,37.919478999999995,-121.95154299999999
1205,2018,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,7,37.919478999999995,-121.95154299999999
1206,2018,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,20,37.919478999999995,-121.95154299999999
1207,2018,California,Contra Costa County, Card Club,Chip Walking,3,37.919478999999995,-121.95154299999999
1208,2018,California,Contra Costa County, Card Club,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,12,37.919478999999995,-121.95154299999999
1209,2018,California,Contra Costa County, Card Club,Embezzlement/Theft/Disappearance of Funds,2,37.919478999999995,-121.95154299999999
1210,2018,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,2,37.919478999999995,-121.95154299999999
1211,2018,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,3,37.919478999999995,-121.95154299999999
1212,2018,California,Contra Costa County, Card Club,Other Casinos,15,37.919478999999995,-121.95154299999999
1213,2018,California,Contra Costa County, Card Club,Other Identification Documentation,8,37.919478999999995,-121.95154299999999
1214,2018,California,Contra Costa County, Card Club,Other Money Laundering,1,37.919478999999995,-121.95154299999999
1215,2018,California,Contra Costa County, Card Club,Other Other Suspicious Activities,1,37.919478999999995,-121.95154299999999
1216,2018,California,Contra Costa County, Card Club,Other Structuring,3,37.919478999999995,-121.95154299999999
1217,2018,California,Contra Costa County, Card Club,Provided Questionable or False Documentation,7,37.919478999999995,-121.95154299999999
1218,2018,California,Contra Costa County, Card Club,Refused or Avoided Request for Documentation,57,37.919478999999995,-121.95154299999999
1219,2018,California,Contra Costa County, Card Club,Single Individual with Multiple Identities,1,37.919478999999995,-121.95154299999999
1220,2018,California,Contra Costa County, Card Club,Suspicion Concerning the Source of Funds,3,37.919478999999995,-121.95154299999999
1221,2018,California,Contra Costa County, Card Club,Suspicious EFT/Wire Transfers,1,37.919478999999995,-121.95154299999999
1222,2018,California,Contra Costa County, Card Club,Suspicious Exchange of Currencies,2,37.919478999999995,-121.95154299999999
1223,2018,California,Contra Costa County, Card Club,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,2,37.919478999999995,-121.95154299999999
1224,2018,California,Contra Costa County, Card Club,Suspicious Intra-Casino Funds Transfers,2,37.919478999999995,-121.95154299999999
1225,2018,California,Contra Costa County, Card Club,Suspicious Use of Multiple Accounts,1,37.919478999999995,-121.95154299999999
1226,2018,California,Contra Costa County, Card Club,Suspicious Use of Third-Party Transactors (Straw-Man),1,37.919478999999995,-121.95154299999999
1227,2018,California,Contra Costa County, Card Club,Transaction(s) Below CTR Threshold,6,37.919478999999995,-121.95154299999999
1228,2018,California,Contra Costa County, Card Club,Two or More Individuals Working Together,4,37.919478999999995,-121.95154299999999
1229,2018,California,Contra Costa County, Other Casino/Card Club,Embezzlement/Theft/Disappearance of Funds,1,37.919478999999995,-121.95154299999999
1230,2018,California,Contra Costa County, Other Casino/Card Club,Suspicious Use of Multiple Accounts,1,37.919478999999995,-121.95154299999999
1231,2018,California,Contra Costa County, Other Casino/Card Club,Transaction(s) Below CTR Threshold,1,37.919478999999995,-121.95154299999999
1232,2018,California,Contra Costa County, State Licensed Casino,Embezzlement/Theft/Disappearance of Funds,1,37.919478999999995,-121.95154299999999
1233,2018,California,Contra Costa County, State Licensed Casino,Suspicious Use of Multiple Accounts,1,37.919478999999995,-121.95154299999999
1234,2018,California,Contra Costa County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,3,37.919478999999995,-121.95154299999999
1235,2018,California,Contra Costa County, Tribal Authorized Casino,Check,9,37.919478999999995,-121.95154299999999
1236,2018,California,Contra Costa County, Tribal Authorized Casino,Credit/Debit Card,6,37.919478999999995,-121.95154299999999
1237,2018,California,Contra Costa County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,1,37.919478999999995,-121.95154299999999
1238,2018,California,Contra Costa County, Tribal Authorized Casino,Identity Theft,2,37.919478999999995,-121.95154299999999
1239,2018,California,Contra Costa County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,4,37.919478999999995,-121.95154299999999
1240,2018,California,Contra Costa County, Tribal Authorized Casino,Other Casinos,293,37.919478999999995,-121.95154299999999
1241,2018,California,Contra Costa County, Tribal Authorized Casino,Other Fraud (Type),4,37.919478999999995,-121.95154299999999
1242,2018,California,Contra Costa County, Tribal Authorized Casino,Other Gaming Activites,20,37.919478999999995,-121.95154299999999
1243,2018,California,Contra Costa County, Tribal Authorized Casino,Other Identification Documentation,55,37.919478999999995,-121.95154299999999
1244,2018,California,Contra Costa County, Tribal Authorized Casino,Other Other Suspicious Activities,1,37.919478999999995,-121.95154299999999
1245,2018,California,Contra Costa County, Tribal Authorized Casino,Other Structuring,1,37.919478999999995,-121.95154299999999
1246,2018,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Documentation,77,37.919478999999995,-121.95154299999999
1247,2018,California,Contra Costa County, Tribal Authorized Casino,Provided Questionable or False Identification,2,37.919478999999995,-121.95154299999999
1248,2018,California,Contra Costa County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,2,37.919478999999995,-121.95154299999999
1249,2018,California,Contra Costa County, Tribal Authorized Casino,Single Individual with Multiple Identities,2,37.919478999999995,-121.95154299999999
1250,2018,California,Contra Costa County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),2,37.919478999999995,-121.95154299999999
1251,2018,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,1,37.919478999999995,-121.95154299999999
1252,2018,California,Contra Costa County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,5,37.919478999999995,-121.95154299999999
1253,2018,California,Contra Costa County, Tribal Authorized Casino,Two or More Individuals Working Together,3,37.919478999999995,-121.95154299999999
1254,2019,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,5,37.919478999999995,-121.95154299999999
1255,2019,California,Contra Costa County, Card Club,Alters or Cancels Transaction to Avoid CTR Requirement,25,37.919478999999995,-121.95154299999999
1256,2019,California,Contra Costa County, Card Club,Chip Walking,14,37.919478999999995,-121.95154299999999
1257,2019,California,Contra Costa County, Card Club,Counterfeit Instrument,1,37.919478999999995,-121.95154299999999
1258,2019,California,Contra Costa County, Card Club,Credit/Debit Card,1,37.919478999999995,-121.95154299999999
1259,2019,California,Contra Costa County, Card Club,Exchanges Small Bills for Large Bills or Vice Versa,3,37.919478999999995,-121.95154299999999
1260,2019,California,Contra Costa County, Card Club,Minimal Gaming with Large Transactions,3,37.919478999999995,-121.95154299999999
1261,2019,California,Contra Costa County, Card Club,Other Gaming Activites,3,37.919478999999995,-121.95154299999999
